brand,vineyard,year,value,average_rating,price
Gérard Millet,Sancerre Rouge,2023,Great Value,4.2,27.29
Olifantsberg,Soul Of The Mountain The Matriarch,2020,No Score,4.2,27.93
Casa Valduga,Terroir Exclusivo Tannat,2020,No Score,4.2,27.86
Ruggeri,Giustino B. Valdobbiadene Prosecco Superiore,2022,Amazing Value!,4.2,28.19
Rapaura Springs,Bouldevines Vineyard Chardonnay,2020,Great Value,4.2,27.7
Rapaura Springs,Rohe Blind River Sauvignon Blanc,2022,Good Value,4.2,25.81
Monte Zovo,Terralbe Le Civaie,2023,Great Value,4.2,21.48
Accordini,Valpolicella Ripasso Classico Superiore,2019,Good Value,4.2,21.2
Piattelli,Malbec Grand Reserve,2022,Great Value,4.2,25.58
Viñátigo,Ensamblaje Blanco,2022,Great Value,4.2,16.73
Quinta do Crasto,Crasto Superior Syrah,2021,Good Value,4.2,26.78
Craggy Range,Sauvignon Blanc Te Muna Road Vineyard,2023,Great Value,4.2,20.75
Château Garraud,Lalande-de-Pomerol,2017,Great Value,4.2,23.8
Charpentier Fleurance,Clos du Pâtis d'Enfer Muscadet-Sevre et Maine,2022,Amazing Value!,4.2,18.25
Serge Laporte,Sancerre 'Chavignol',2022,Great Value,4.2,22.2
Los Aguilares,Pago El Espino,2021,Good Value,4.2,23.5
Kaapzicht,Rooiland Pinotage,2021,Great Value,4.2,21.0
Journey's End,Destination Chardonnay,2022,Great Value,4.2,24.5
Jesus Madrazo,Num. IV,2019,Good Value,4.2,29.0
Khareba,Kindzmarauli (ქინძმარაული) Semi-Sweet Red,2021,Amazing Value!,4.2,15.4
Martin Pomfy - Mavín,Selection  Cabernet Sauvignon,2019,No Score,4.2,26.5
Niepoort,Douro Redoma Branco,2021,Good Value,4.2,25.0
Triana,Tinto,2016,Good Value,4.2,24.0
The Perfect Cut,Sauvignon Blanc,2023,Great Value,4.2,12.95
Domaine de la Cendrillon,La Coume,2019,Great Value,4.2,24.95
Clos du Soleil,Signature,2012,No Score,4.2,21.99
Villa Maria,Clifford Bay Reserve Sauvignon Blanc,2023,Good Value,4.2,17.99
Familia Torres,San Valentín Parellada,2022,Amazing Value!,4.2,14.99
Pulenta Estate,Cabernet Sauvignon (III),2020,Good Value,4.2,22.99
Comte Lafond,Sancerre Rosé,2020,Great Value,4.2,28.99
Tenimenti Ca'Bianca,Barolo,2018,Great Value,4.2,29.99
Pulenta Estate,Chardonnay (VIII),2023,Good Value,4.2,18.99
Li Veli,Orion Primitivo,2022,Great Value,4.2,15.49
Viu Manent,Loma Blanca Single Vineyard Carménère,2019,Good Value,4.2,23.99
Cloudy Bay,Sauvignon Blanc,2022,Great Value,4.2,28.99
Victor Berard,Châteauneuf-du-Pape,2022,Good Value,4.2,27.99
Li Veli,'Askos' Susumaniello,2021,Great Value,4.2,19.99
Imperial,Rioja Reserva,2019,Good Value,4.2,26.99
Esporão,Esporão Reserva Tinto,2021,Great Value,4.2,18.99
Vuurberg,White,2021,No Score,4.2,22.29
Godeval,Cepas Vellas Godello,2022,Great Value,4.2,28.5
VALENCISO,Fermentado En Barrica Tempranillo Blanco,2022,Great Value,4.2,27.25
Merum Priorati,Inici,2020,Good Value,4.2,27.75
Cà dei Maghi,Camparsi Bianco,2023,Great Value,4.2,19.95
César Márquez,La Salvación Godello,2022,Great Value,4.2,29.5
Clos de Lôm,Isidra,2020,Good Value,4.2,24.5
Teleda - Orgo,Saperavi,2022,No Score,4.2,21.5
Pikes,The Merle Riesling,2022,Amazing Value!,4.2,29.95
Cà dei Maghi,Valpolicella Ripasso Classico Superiore,2019,Good Value,4.2,28.95
Domaine de Grange Neuve,Monbazillac,2019,No Score,4.2,12.69
Soalheiro,Primeiras Vinhas Alvarinho,2022,Good Value,4.2,27.95
Patricius,Katinka Noble Late Harvest,2021,No Score,4.2,22.95
Robertson Winery,Constitution Road Chardonnay,2023,Amazing Value!,4.2,19.95
Château Lamothe-Bouscaut,Pessac-Léognan,2019,Great Value,4.2,29.95
Perez Cruz,Carmenère Limited Edition,2021,Great Value,4.2,21.5
Maçanita,Reserva,2020,Good Value,4.2,27.5
Catena Alta,Chardonnay,2020,Good Value,4.2,26.95
Pago de Los Capellanes,O Luar do Sil Valdeorras Godello Sobre Lias,2023,Great Value,4.2,25.45
Domaine Hippolyte Reverdy,Sancerre,2023,Great Value,4.2,22.95
Lush Blush,Côtes de Provence Rosé,2022,Great Value,4.2,29.99
