brand,vineyard,year,value,average_rating,price
Chaland Jean-Marie,Domaine Sainte Barbe Vieilles Vignes Viré-Clessé Chazelles,2022,Great Value,4.3,26.95
W. & J. Graham's,Late Bottled Vintage Port,2019,Amazing Value!,4.3,15.98
Vergelegen,Semillon Straw,2021,No Score,4.3,16.95
Boschendal,Vin d’Or Noble Late Harvest,2023,No Score,4.3,19.9
Beyerskloof,Kriekbult Pinotage,2021,Great Value,4.3,26.95
Iona,Wild Ferment Monopole Sauvignon Blanc,2022,Great Value,4.3,22.95
Springfontein Wine Estate,Daredevils' Drums Blushes Inverse Natural Blanc de Pinotage,2021,No Score,4.3,28.95
Lanzerac,Aliquid Novi Pinotage,2021,Amazing Value!,4.3,14.49
Larry Cherubino,Uovo Cabernet - Nebbiolo,2021,Amazing Value!,4.3,22.65
Vuurberg,White,2020,No Score,4.3,22.99
Casa Silva,Los Lingues Single Block S38 Cabernet Sauvignon,2020,Great Value,4.3,29.99
Juan Gil,Jumilla Blue Label,2021,Great Value,4.3,29.9
Casa Silva,S7 Single Block Los Lingues Carmenere,2022,Great Value,4.3,29.99
Brunilde di Menzione,Primitivo di Manduria Riserva,2020,Great Value,4.3,18.99
David Nieuwoudt,Ghost Corner Sauvignon Blanc,2021,Great Value,4.3,24.99
Tenute Ca' Botta,Tenuta Costa Rossa Valpolicella Ripasso Superiore,2018,Great Value,4.3,24.45
Vigneron Firmin Dezat,Sancerre Rosé,2023,Amazing Value!,4.3,24.49
Luigi Bosca,De Sangre Uco Valley Malbec,2022,Great Value,4.3,24.99
Salsedine,Rosso,2022,Great Value,4.3,23.9
Azienda Agricola Francesco Iandolo,Derthona Timorasso,2022,Great Value,4.3,24.3
Feudi Bizantini,Il Rabdomante Montepulciano d'Abruzzo,2021,Great Value,4.3,24.0
Azienda Agricola Francesco Iandolo,Nizza DOCG,2019,Great Value,4.3,24.3
Duca di Saragnano,Alchymia Primitivo,2021,Great Value,4.3,20.9
Duca di Saragnano,Alchymia Primitivo,2021,Great Value,4.3,20.9
Paladin,Merlot Drago Rosso,2021,Amazing Value!,4.3,18.9
Paladin,Casa Lupo Valpolicella Ripasso Superiore,2021,Great Value,4.3,23.9
Fantini,Edizione Cinque Autoctoni,Unknown Year,Great Value,4.3,28.4
Barbanera,Gigino 80 Anniversario,2021,Great Value,4.3,23.9
Barbanera,Ngudrà Primitivo del Salento,2021,Fair Value,4.3,24.9
Bertinga,Sassi Chiusi,2018,Great Value,4.3,28.5
Tenuta Ulisse,Amaranta Montepulciano d'Abruzzo,2021,Great Value,4.3,24.0
Casalino,Brunello di Montalcino,2018,Great Value,4.3,27.0
Rijk's,Private Cellar Pinotage,2020,Great Value,4.3,29.86
Rossetti,Tino Rosso,2015,Great Value,4.3,29.93
Môreson,Magia Cabernet Sauvignon,2017,Great Value,4.3,26.99
Winshaw Vineyards,Bill Winshaw,2019,Good Value,4.3,29.99
Da Hanekom Familie Wines,Klipmuur Sauvignon Blanc,2022,Great Value,4.3,20.0
Da Hanekom Familie Wines,Putfontein Pinotage,2019,Great Value,4.3,24.5
Stony Brook,Ghost Gum,2020,Great Value,4.3,30.0
Weingut Hermann Ludes,Klüsserather Bruderschaft Riesling Spätlese,2019,Amazing Value!,4.3,24.95
Falasco Wines,Hermandad Malbec,2021,Great Value,4.3,25.95
Ceretto,Moscato d'Asti,2023,Amazing Value!,4.3,20.95
Gonzalez-Byass,Matusalem Sherry VORS,Unknown Year,No Score,4.3,29.95
